Ratio H/L normalized pd2_forward	Ratio H/L normalized pd2_reverse	Ratio H/L normalized pd4_forward	Ratio H/L normalized pd4_reverse	Only identified by site	Reverse	Contaminant	Ratio H/L normalized pd2_forward B significant	Ratio H/L normalized pd2_reverse B significant	Ratio H/L normalized pd4_forward B significant	Ratio H/L normalized pd4_reverse B significant	Peptides	Unique peptides	Intensity pd2_forward	Intensity pd2_reverse	Intensity pd4_forward	Intensity pd4_reverse	Ratio H/L normalized pd2_forward Significance B	Ratio H/L normalized pd2_reverse Significance B	Ratio H/L normalized pd4_forward Significance B	Ratio H/L normalized pd4_reverse Significance B	Protein IDs	Majority protein IDs	Protein names	Gene names	Proteins	Color
NaN	NaN	2.840503	NaN								3	3	0	0	5047900	3279100	1	1	0.553402734758882	1	A2AHG2;Q6ZPK0;Q6ZPK0-3;A2AHG4;Q6ZPK0-8;Q6ZPK0-6;D3Z764;Q6ZPK0-2;Q6ZPK0-9;A2AHG3;Q6ZPK0-4;Q6ZPK0-7;Q6ZPK0-5;E9QKW9;E9PV92;F6URE6;F6TKP4;E9Q6R6;E0CYN5;E0CZ79;E0CZ36	A2AHG2;Q6ZPK0;Q6ZPK0-3;A2AHG4;Q6ZPK0-8;Q6ZPK0-6;D3Z764;Q6ZPK0-2;Q6ZPK0-9;A2AHG3;Q6ZPK0-4;Q6ZPK0-7;Q6ZPK0-5;E9QKW9;E9PV92;F6URE6	PHD finger protein 21A	Phf21a	21	
NaN	NaN	NaN	NaN								1	1	0	0	0	415840	1	1	1	1	A2AI08	A2AI08	Taperin	Tprn	1	
2.394487	NaN	2.982893	NaN								3	3	1536400	262040	1513600	0	0.748229804513676	1	0.476441851483652	1	E9PZY8;A2AIV2;A2AIV2-2	E9PZY8;A2AIV2;A2AIV2-2	Protein virilizer homolog	1110037F02Rik;Kiaa1429	3	
1.765789	NaN	NaN	NaN								3	3	5520400	1130100	0	0	0.919731259154422	1	1	1	Q3TIX6;A2AJ72;A2AJ71	Q3TIX6;A2AJ72;A2AJ71		Fubp3	3	
NaN	2.155555	3.3105	3.092968								4	4	3408900	1131600	4056100	4361000	1	0.54740906708641	0.323801409614373	0.419543302473811	A2AJG0;Q80UU2	A2AJG0;Q80UU2	Ribonuclease P protein subunit p38	Rpp38	2	
1.760689	-2.508978	2.24004	-2.090987								23	19	63588000	24132000	14151000	14196000	0.917528683813848	0.024956841099131	0.928852617646386	0.076977299974382	A2AJK6;A2AJK6-3;Q8BYH8;Q8BYH8-2;Q09XV5;F7AL76;A3KFM8;E9PV74;E9Q5X4;E9PZM4;P40201;Q8C7Q2;G3V014	A2AJK6;A2AJK6-3	Chromodomain-helicase-DNA-binding protein 7	Chd7	13	
NaN	NaN	NaN	NaN								1	1	1220800	418340	0	0	1	1	1	1	Q8C5N3;B1AYU7;Q8C5N3-2;A2AK42;A2AK44;B1AYU4	Q8C5N3;B1AYU7;Q8C5N3-2;A2AK42;A2AK44;B1AYU4	Pre-mRNA-splicing factor CWC22 homolog	Cwc22;OTTMUSG00000013393;Gm13695	6	
4.006747	-1.369371	4.127386	3.360505								25	4	1012100000	634890000	167630000	220040000	0.136796523291056	0.157616886748718	0.09462553105153	0.347110450696124	Q8BG05;A2AL12	Q8BG05;A2AL12	Heterogeneous nuclear ribonucleoprotein A3	Hnrnpa3	2	
1.488104	-1.356199	NaN	-1.60235								9	9	21803000	12345000	4066700	7233300	0.801143830623463	0.160452570898555	1	0.12706716994151	Q8BSY0;A2AL85;E9Q6M2;Q8CBM2	Q8BSY0;A2AL85;E9Q6M2;Q8CBM2	Aspartyl/asparaginyl beta-hydroxylase	Asph	4	
NaN	NaN	3.770512	NaN								3	3	0	1328000	9825000	10108000	1	1	0.169966074868781	1	Q6PAQ4;A2ALB2;A2ALB1	Q6PAQ4;A2ALB2;A2ALB1	RNA exonuclease 4	Rexo4	3	
1.045792	-0.1030384	1.590865	-0.4833393								4	4	3021900	1290500	2807600	3629200	0.622338937807331	0.622708384642997	0.750009697849458	0.332095515058527	Q3V0C5-2;Q3V0C5-5;Q3V0C5;A2ALR9;A2ALR8;Q3V0C5-3;Q3V0C5-4;B7ZNK5;A2ALR5;A2BDP2;F6VSP0;F6TH61;F7ALR2;F6VSQ9	Q3V0C5-2;Q3V0C5-5;Q3V0C5;A2ALR9;A2ALR8;Q3V0C5-3;Q3V0C5-4;B7ZNK5	Ubiquitin carboxyl-terminal hydrolase 48	Usp48	14	
NaN	NaN	NaN	NaN								2	2	0	0	1199600	3303900	1	1	1	1	A2AMV7;P47757;P47757-2;A2AMW0;F7CAZ6;F6YHZ8;F6QJN8	A2AMV7;P47757;P47757-2;A2AMW0;F7CAZ6;F6YHZ8;F6QJN8	F-actin-capping protein subunit beta	Capzb	7	
NaN	NaN	NaN	0.7623063								2	2	0	147770	957300	1409700	1	1	1	0.725492579019478	A2ANY6	A2ANY6	Midasin	Mdn1	1	
2.744721	-0.510457	2.088006	1.53968								2	2	12419000	5470100	4860800	4750000	0.565661999921163	0.430481827405194	0.978675108999217	0.972033564239807	Q8JZX4;A2AP40	Q8JZX4;A2AP40	Splicing factor 45	Rbm17	2	
0.4032677	NaN	NaN	NaN								2	1	4733600	0	0	0	0.399704063813703	1	1	1	A2APA8;Q3ULB3;P34056-4;Q61313;Q8CE69;Q61312;Q6VUP9;E9Q5N4;P34056;P34056-3;Q8BPN4;P34056-2	A2APA8;Q3ULB3;P34056-4;Q61313;Q8CE69;Q61312;Q6VUP9;E9Q5N4;P34056;P34056-3;Q8BPN4;P34056-2	Transcription factor AP-2-beta;Transcription factor AP-2 gamma;Transcription factor AP-2-epsilon;Transcription factor AP-2-alpha	Tfap2c;Tfap2b;Tfap2e;Tfap2a	12	
NaN	2.721482	3.220593	2.300446								9	9	1894200	1912900	10446000	26097000	1	0.414014680375229	0.362134434364083	0.67942893155308	E9QAU4;A2AQ25;A2AQ25-3;D3Z781;A2AQ25-4;A2AQ25-2;A2AQ25-8;A2AQ25-5;F8WHU1;A2AQ25-6;A2AQ25-9;Q8BHR1;A2AQ25-7	E9QAU4;A2AQ25;A2AQ25-3;D3Z781;A2AQ25-4;A2AQ25-2;A2AQ25-8;A2AQ25-5;F8WHU1;A2AQ25-6;A2AQ25-9;Q8BHR1	Sickle tail protein	Etl4;Skt	13	
NaN	NaN	NaN	NaN								1	1	774560	304500	0	0	1	1	1	1	Q8CFQ3;A2AQA7	Q8CFQ3;A2AQA7	Intron-binding protein aquarius	Aqr	2	
0.04292445	1.125982	0.5432978	1.035624								6	6	6821400	8290800	15301000	17784000	0.299167415854834	0.833560871600478	0.350454862821056	0.829488819743522	A2AQH4;F8WJL9;F6ZBD9	A2AQH4;F8WJL9;F6ZBD9	BCL-6 corepressor-like protein 1	Bcorl1	3	
NaN	NaN	2.054848	NaN								3	3	0	0	7844100	2178600	1	1	0.963152155094413	1	A2AQR4;E9QM84;Q99KE8-3;A2AQR3;Q99KE8;Q99KE8-2	A2AQR4;E9QM84;Q99KE8-3		Zfp64	6	
NaN	NaN	1.387583	0.8402014								2	2	5884800	2632000	4296200	5684900	1	1	0.661397814582203	0.754711251317209	A2AR02;A2AR01	A2AR02;A2AR01	Peptidyl-prolyl cis-trans isomerase G;Peptidyl-prolyl cis-trans isomerase	Ppig	2	
1.248778	1.77349	2.286053	1.75399								6	6	2822600	2884100	4891800	8322200	0.702395003002435	0.64813014752644	0.898257708327131	0.887401151717656	Q68FH0;A2AS45;Q68FH0-2;A2AS47;Q05D18;A2AS44;O35927;E9QKH8;O35927-2;E9QKX8	Q68FH0;A2AS45;Q68FH0-2;A2AS47	Plakophilin-4	Pkp4	10	
NaN	NaN	NaN	NaN								2	2	2595200	1028700	0	0	1	1	1	1	A2ATY4	A2ATY4		Zbtb34	1	
3.20364	-1.523007	3.284825	2.414866								11	11	262840000	109100000	17235000	16909000	0.364624403147106	0.127287776217987	0.334468537065687	0.638267777275465	Q64012;A2AU62;Q64012-2;A2AU61;A2AU60	Q64012;A2AU62;Q64012-2;A2AU61;A2AU60	RNA-binding protein Raly	Raly;C130057N11Rik	5	
NaN	NaN	1.972215	NaN								2	2	0	0	4420800	0	1	1	0.924539778258719	1	Q99PL5;A2AVJ7;Q99PL5-2;E9PUZ4;Q99PL5-3;Q99PL5-4;Q99PL5-5;Q99PL5-6;Q99PL5-7;Q99PL5-8;Q99PL5-9;Q99PL5-10;Q99PL5-11;Q99PL5-12	Q99PL5;A2AVJ7;Q99PL5-2;E9PUZ4;Q99PL5-3;Q99PL5-4;Q99PL5-5;Q99PL5-6;Q99PL5-7;Q99PL5-8;Q99PL5-9;Q99PL5-10;Q99PL5-11;Q99PL5-12	Ribosome-binding protein 1	Rrbp1	14	
1.015069	-0.3455461	1.408549	0.6036916								9	9	90662000	38323000	50852000	42102000	0.610573250716009	0.503870017956733	0.670345369284716	0.667254256275582	F8WGL8;Q08943-2;Q08943;A2AW05	F8WGL8;Q08943-2;Q08943;A2AW05	FACT complex subunit SSRP1	Ssrp1	4	
NaN	NaN	NaN	NaN								1	1	508310	258080	428970	561460	1	1	1	1	Q6ZQH8;A2AWI5;F7BCN9;F2Z4A7;F2Z3V3	Q6ZQH8;A2AWI5;F7BCN9;F2Z4A7;F2Z3V3	Nucleoporin NUP188 homolog	Nup188;Phyhd1	5	
NaN	-1.000029	-2.439794	2.398296								16	16	1631200	748350	42721000	11271000	1	0.252426020460278	0.007247908934616	0.644163999781795	E9QLG3;A2AWL7;A2AWL7-3;A2AWL7-2;A2AWL7-4	E9QLG3;A2AWL7;A2AWL7-3;A2AWL7-2	MAX gene-associated protein	Mga	5	
0.6849084	1.740971	2.863879	1.176769								15	1	267930000	82237000	97240000	170710000	0.490884295974893	0.657045904382683	0.540362391819214	0.884518857694701	A2AWT7;A2AWT6;P25976-2;E9Q4A8;G3UZW9	A2AWT7;A2AWT6;P25976-2		Ubtf	5	
NaN	NaN	NaN	NaN								1	1	0	0	0	1199000	1	1	1	1	O70152;A2BDX2;F8WII3	O70152;A2BDX2;F8WII3	Dolichol-phosphate mannosyltransferase	Dpm1	3	
NaN	1.383054	NaN	NaN								2	2	1038900	1331100	923790	1493200	1	0.758164089184903	1	1	A2BE28;A2BE28-2	A2BE28;A2BE28-2	Ribosomal biogenesis protein LAS1L	Las1l	2	
NaN	0.7305747	1.489389	NaN								3	3	2415600	2358000	5980800	3025500	1	0.952332730971008	0.705275478750836	1	Q9D868-2;A2BGI8;Q9D868;A2BGI9	Q9D868-2;A2BGI8;Q9D868	Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase H	Ppih	4	
2.2986	NaN	NaN	NaN								2	2	5829100	0	0	0	0.801367705187769	1	1	1	Q9CQI7;A2CES4	Q9CQI7;A2CES4	U2 small nuclear ribonucleoprotein B	Snrpb2	2	
NaN	NaN	-2.567639	NaN								2	2	0	0	4775300	0	1	1	0.005774860317018	1	Q9Z148;A2CG76;Q9Z148-3;Q9Z148-2	Q9Z148;A2CG76;Q9Z148-3;Q9Z148-2	Histone-lysine N-methyltransferase EHMT2	Ehmt2	4	
NaN	NaN	NaN	NaN								1	1	1056300	0	0	0	1	1	1	1	A2RSY6	A2RSY6	TRMT1-like protein	Trmt1l	1	
0.7037209	0.2000021	1.441749	-0.1341762								10	10	132970000	49427000	80148000	68348000	0.497349040715918	0.785939494059857	0.684609999034718	0.425767609767367	G5E8P8;E9QKA2;A2RTQ7;Q61539;D3YW03;P62509;P62509-2;O08580	G5E8P8;E9QKA2;A2RTQ7;Q61539	Steroid hormone receptor ERR2	Esrrb	8	
NaN	NaN	NaN	NaN								6	2	589030	271860	0	0	1	1	1	1	A3KFM7	A3KFM7		Chd6	1	
3.321495	3.142577	2.591129	3.95615								9	4	15636000	5929600	14656000	18364000	0.321253611587575	0.328580780201601	0.701265017358787	0.216343294061266	Q6PHQ9;A3KFU8;A3KFU5;D3Z5M2;Q91YZ8;E9PW32;G5E8X2	Q6PHQ9;A3KFU8;A3KFU5;D3Z5M2;Q91YZ8;E9PW32		Pabpc4;Gm10110	7	
-2.02239	2.075909	0.5352567	-0.5340778								11	11	34604000	4399000	7269200	8318600	0.030617921436585	0.567755228432837	0.348024141770792	0.319684715048946	A3KG93;Q6ZQ88;G8JL40;F6Z4I3;F6ZC60	A3KG93;Q6ZQ88;G8JL40	Lysine-specific histone demethylase 1A	Kdm1a	5	
2.755528	2.793646	2.638908	2.869812								34	34	22909000	20515000	44067000	83851000	0.560382296667932	0.398507036587704	0.671808312595761	0.486253158673298	E9Q447;A3KGU7;P16546;A3KGU5;P16546-2;A3KGU9	E9Q447;A3KGU7;P16546;A3KGU5;P16546-2	Spectrin alpha chain, brain	Spna2;Sptan1	6	
NaN	NaN	NaN	NaN								1	1	4237200	1617800	8913400	3473800	1	1	1	1	A4Q9E5	A4Q9E5	Tubulin monoglycylase TTLL3	Ttll3	1	
NaN	NaN	NaN	NaN								1	1	1119100	285960	0	1273500	1	1	1	1	Q0VGT2;A5AA27;F6UUE3;A5A9W3	Q0VGT2;A5AA27;F6UUE3;A5A9W3	Zinc finger protein GLI2	Gli2	4	
2.596339	2.561326	2.660678	2.104337								4	4	8520300	5615300	29355000	7503500	0.640455219294876	0.449680665430645	0.658548891325512	0.752188727981964	E9Q284;Q5SU73;A6PWE1	E9Q284;Q5SU73;A6PWE1	Coilin	Coil	3	
-1.378719	1.236891	-1.389753	1.389677								20	20	519680000	276020000	323930000	363200000	0.070022055416914	0.800800226270898	0.03857413771059	0.968506495035003	A6PWY4;A6PWY4-2;A6PWY4-3	A6PWY4;A6PWY4-2	WD repeat-containing protein 76	Wdr76	3	
1.918348	1.127369	2.291957	2.515258								10	10	6935600	3881500	11291000	8639900	0.985828974497602	0.833149081230419	0.894342061095233	0.603044008377827	B1AQJ2;B0QZF8;E9Q5N0	B1AQJ2	Ubiquitin carboxyl-terminal hydrolase 36	Usp36	3	
NaN	NaN	NaN	NaN								1	1	0	0	397420	0	1	1	1	1	B1AQY2;Q69ZH9;F8VQ11;D6RDB5	B1AQY2;Q69ZH9;F8VQ11;D6RDB5	Rho GTPase-activating protein 23	Arhgap23	4	
NaN	NaN	NaN	NaN	+							1	1	1180200	0	0	655090	1	1	1	1	P23798;B1AR14	P23798;B1AR14	Polycomb group RING finger protein 2	Pcgf2	2	
NaN	NaN	NaN	NaN								16	1	0	0	0	500650	1	1	1	1	B1AR17;E9Q614;F7C528	B1AR17;E9Q614;F7C528		Chd3	3	
NaN	NaN	2.453439	NaN								3	2	540390	0	66190000	1006800	1	1	0.788556957071394	1	E9QA63;Q9QXZ0;B1ARU4;B1ARU1;E9QNP1;Q9QXZ0-4;E9PVY6;F7ACR9;E9PVY7;Q9QXZ0-2;Q9QXZ0-3;F6Q750;F6SHS0;F6XCT0	E9QA63;Q9QXZ0;B1ARU4;B1ARU1;E9QNP1;Q9QXZ0-4;E9PVY6;F7ACR9;E9PVY7;Q9QXZ0-2;Q9QXZ0-3	Microtubule-actin cross-linking factor 1	Macf1	14	
1.392977	-0.4276341	NaN	-0.6522436								1	1	1117400	331100	728200	1132500	0.76141158635989	0.466538350739861	1	0.29197229224568	B1ATI0;B1AV77;P47740;Q8C5J1	B1ATI0;B1AV77;P47740;Q8C5J1	Aldehyde dehydrogenase;Fatty aldehyde dehydrogenase	Aldh3a2	4	
NaN	1.014427	2.153805	NaN								2	2	0	2382100	7796900	8042000	1	0.866806291152693	0.986439312086455	1	Q9Z0X1;B1AU25	Q9Z0X1;B1AU25	Apoptosis-inducing factor 1, mitochondrial	Aifm1	2	
NaN	-0.4389329	NaN	-0.406847								2	2	0	9281300	0	12122000	1	0.461522873138991	1	0.351386069717689	Q5SS00;B1AU71	Q5SS00;B1AU71	DBF4-type zinc finger-containing protein 2 homolog	Zdbf2	2	
0.0650208	-0.8954754	1.347325	-1.858149								33	32	528960000	250850000	301170000	349690000	0.304798553114088	0.285328556596378	0.644352807863394	0.098363901239887	B1AUX2;Q61191;F6SJS2	B1AUX2;Q61191	Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6	Hcfc1	3	
NaN	NaN	NaN	NaN								1	1	0	0	0	555700	1	1	1	1	E9PUP2;Q78IK4;B1AV14	E9PUP2;Q78IK4;B1AV14	Apolipoprotein O-like	Apool	3	
1.340391	1.352137	1.156073	2.287147								5	5	26371000	11879000	7395400	8540500	0.739707674130307	0.767126402054538	0.566024865587145	0.684278510890717	B1AVB3;B1AVB5;E9Q796;B1AVB4;B1AVB2;B1AVB1;Q99MW4;E9Q795	B1AVB3;B1AVB5;E9Q796;B1AVB4;B1AVB2;B1AVB1;Q99MW4;E9Q795		Scml2	8	
-1.887046	NaN	-3.016133	NaN								19	19	5660600	347120	70987000	6580100	0.036765398314252	1	0.002497601447457	1	B1AWL2;B1AWL5;B1AWL4;B1AWL3	B1AWL2;B1AWL5;B1AWL4		Zfp462	4	
NaN	-0.6891946	0.1011122	-0.4668952								3	3	3543400	3802200	10994000	9380400	1	0.358420381058396	0.232737318015938	0.336183716963346	P35700;B1AXW6;B1AXW5;B1AXW4;G3UW54	P35700;B1AXW6;B1AXW5;B1AXW4;G3UW54	Peroxiredoxin-1	Prdx1;Gm7204	5	
2.703809	-1.124534	NaN	1.73933								4	4	4927100	2546900	1838000	1431800	0.585861619619859	0.216815352767115	1	0.893160722677648	B1AZI6;E9Q5E2	B1AZI6	THO complex subunit 2	Thoc2	2	
NaN	NaN	NaN	NaN								1	1	0	1117200	2597100	4601900	1	1	1	1	O08807;B1AZS9	O08807;B1AZS9	Peroxiredoxin-4	Prdx4	2	
NaN	NaN	NaN	NaN								3	1	783200	232830	588640	534850	1	1	1	1	B2KF05	B2KF05		Brpf3	1	
NaN	NaN	NaN	NaN								2	2	846040	370970	1359400	1150900	1	1	1	1	B2RQC6;G3UWN2;E9QAI5;B7ZN27;E9QAT6	B2RQC6;G3UWN2;E9QAI5;B7ZN27;E9QAT6		Cad	5	
0.6616584	0.2373189	0.8743642	0.4519628								8	1	38650000	13803000	15594000	119420000	0.482957422998003	0.80688756339717	0.459711920429738	0.613354685648942	Q3U109;Q80XK2;E9PXP1;B2RRD7	Q3U109;Q80XK2;E9PXP1;B2RRD7		Brpf1	4	
3.215088	4.240925	2.816702	3.798569								44	44	160970000	103810000	299860000	337840000	0.360257585226091	0.163124644625443	0.566837120462522	0.246874166785771	E9QAX2;Q9JMH9-6;Q9JMH9;B2RRE2;Q9JMH9-1;Q9JMH9-4;Q9JMH9-2;Q9JMH9-7;Q9JMH9-5;E9Q405;E9QA74	E9QAX2;Q9JMH9-6;Q9JMH9;B2RRE2;Q9JMH9-1;Q9JMH9-4;Q9JMH9-2;Q9JMH9-7;Q9JMH9-5;E9Q405;E9QA74	Unconventional myosin-XVIIIa	Myo18a	11	
NaN	NaN	NaN	NaN								1	1	3136000	0	0	0	1	1	1	1	B2RRE4	B2RRE4	Zinc finger protein 518B	Znf518b	1	
NaN	-0.08251474	0.5231605	-0.5889425								8	8	7809500	5608700	14538000	19794000	1	0.633300311726467	0.344387843880482	0.306610537075778	B2RRL2	B2RRL2	Jerky protein homolog-like	Jrkl	1	
NaN	NaN	-4.627823	NaN								2	2	0	0	10135000	11531000	1	1	7.18912394796825E-05	1	B2RS19;Q8C4Y1;E9Q7Z1;P28574	B2RS19;Q8C4Y1;E9Q7Z1;P28574	Protein max	Max	4	
2.563744	-0.8435776	NaN	1.926151								6	6	30893000	5608200	3225100	3655700	0.657424300817383	0.302692932142144	1	0.820286255613293	O88532;B2RUG7;F6QJP7;D3Z5G4;D3Z7V6	O88532;B2RUG7	Zinc finger RNA-binding protein	Zfr	5	
1.190678	-0.1608789	2.184058	-0.08781007								4	4	7351100	6065000	8992800	9458200	0.679091772249938	0.593280629786661	0.96621312083138	0.439272296434805	Q4QY64;B2RUJ4	Q4QY64;B2RUJ4	ATPase family AAA domain-containing protein 5	Atad5	2	
3.515511	3.170838	3.374344	2.795809								5	5	10797000	7513800	15756000	21160000	0.257507874274475	0.323288167572708	0.298248092882885	0.509579541905079	B2RUP0;Q8C5L7;E9Q5Y4	B2RUP0;Q8C5L7	RNA-binding protein 34	Rbm34	3	
NaN	0.08174868	NaN	-0.1262498								2	2	0	595820	0	1776500	1	0.720640160499513	1	0.428058953276964	B2RXC6	B2RXC6	DNA-directed RNA polymerase	Polr3a	1	
1.467436	-0.2631961	NaN	NaN								1	1	5061500	1996700	1750700	2161800	0.792463705331424	0.542847659222376	1	1	B2RY56;B2RY56-2;B2RY56-3	B2RY56;B2RY56-2;B2RY56-3	RNA-binding protein 25	Rbm25	3	
NaN	3.063175	1.601506	2.886414								6	5	0	1888200	9471000	9329400	1	0.343749484030118	0.754752674241345	0.48110076371296	Q8BTM8;B7FAU9;B7FAV1;F6XC15	Q8BTM8;B7FAU9;B7FAV1	Filamin-A	Flna	4	
2.062398	NaN	NaN	NaN								2	2	4937700	357280	0	0	0.935736666334215	1	1	1	Q91W39;B7ZC23;B7ZC24	Q91W39;B7ZC23;B7ZC24	Nuclear receptor coactivator 5	Ncoa5	3	
1.021693	-0.8865395	1.89476	-1.067606								13	13	42084000	25996000	31169000	49426000	0.61310146812846	0.288269397662085	0.888506104110575	0.20762029717096	E9QAV4;Q6PHP4;B7ZCR6;F6QL98;F6R5G3;B7ZCR8;D6RE21	E9QAV4;Q6PHP4;B7ZCR6		Znf512b	7	
